date,home_team,away_team,home_score,away_score,status,game_id,neutral_site
2025-08-29,King's (PA),Drew,1,2,FINAL,6494297,False
2025-08-29,Marywood,SUNY New Paltz,2,5,FINAL,6494346,False
2025-08-29,Smith,Me.-Farmington,7,0,FINAL,6494364,False
2025-08-29,SUNY Brockport,Allegheny,2,1,FINAL,6494430,False
2025-08-29,Roanoke,Mary Washington,1,5,FINAL,6494465,False
2025-08-29,Roger Williams,WPI,0,2,FINAL,6494547,False
2025-08-29,Keene St.,Rivier,7,2,FINAL,6494556,False
2025-08-29,VTSU Castleton,Union (NY),1,2,FINAL,6494639,False
2025-08-29,Hartford,Elms,8,0,FINAL,6494687,False
2025-08-29,William Smith,St. John Fisher,3,2,FINAL,6494740,False
2025-08-29,Thomas (ME),Skidmore,1,2,FINAL,6494754,False
2025-08-29,Arcadia,Stockton,1,6,FINAL,6494804,False
2025-08-29,Ithaca,Kean,3,0,FINAL,6494820,False
2025-08-29,Elizabethtown,Lebanon Valley,1,2,FINAL,6494855,False
2025-08-29,Franklin & Marshall,Susquehanna,5,3,FINAL,6494884,False
2025-08-29,Wash. & Jeff.,Lycoming,1,3,FINAL,6494903,False
2025-08-29,Penn St. Harrisburg,Albright,5,0,FINAL,6494929,False
2025-08-29,Washington Col.,Stevenson,1,2,FINAL,6494937,False
2025-08-29,Bridgewater St.,Plymouth St.,3,0,FINAL,6494971,False
2025-08-29,Wellesley,Swarthmore,0,1,FINAL,6495024,False
2025-08-29,York (PA),Stevens,1,2,FINAL,6495038,False
2025-08-29,Eastern Conn. St.,JWU (Providence),0,1,FINAL,6495069,False
2025-08-29,Bryn Mawr,Widener,2,3,FINAL,6495116,False
2025-08-29,Western New Eng.,Wheaton (MA),2,0,FINAL,6495160,False
2025-08-29,Endicott,Babson,3,4,FINAL,6495218,False
2025-08-29,Rowan,Ursinus,2,0,FINAL,6495262,False
2025-08-29,Neumann,Alfred,5,0,FINAL,6495308,False
2025-08-29,Elmira,SUNY Morrisville,1,3,FINAL,6495330,False
2025-08-29,Houghton,Lancaster Bible,3,0,FINAL,6495362,False
2025-08-29,St. Lawrence,SUNY Oneonta,3,0,FINAL,6495399,False
2025-08-29,Gwynedd Mercy,Misericordia,0,5,FINAL,6495408,False
2025-08-29,Chris. Newport,Bridgewater (VA),6,0,FINAL,6495423,False
2025-08-29,Gordon,Westfield St.,0,10,FINAL,6495429,False
2025-08-29,Southern Me.,U New England,0,1,FINAL,6495462,False
2025-08-29,Sweet Briar,Wilson,0,4,FINAL,6495487,False
2025-08-29,Dickinson,Messiah,1,0,FINAL,6495534,False
2025-08-29,Muhlenberg,Scranton,2,3,FINAL,6495591,False
2025-08-29,SUNY Geneseo,Rensselaer,2,0,FINAL,6495646,False
2025-08-29,Montclair St.,Cortland,1,0,FINAL,6496182,False
2025-08-29,Johns Hopkins,Wash. & Lee,4,2,FINAL,6496184,False
2025-08-29,Concordia Wisconsin,Transylvania,3,1,FINAL,6494269,False
2025-08-30,FDU-Florham,Immaculata,1,3,FINAL,6494329,False
2025-08-30,Scranton,SUNY New Paltz,4,3,FINAL,6494347,False
2025-08-30,Randolph-Macon,McDaniel,2,0,FINAL,6494392,False
2025-08-30,Wooster,Centre,0,1,FINAL,6494417,False
2025-08-30,TCNJ,Catholic,2,0,FINAL,6494446,False
2025-08-30,Allegheny,Juniata,5,0,FINAL,6494464,False
2025-08-30,Nichols,Dean,2,5,FINAL,6494476,False
2025-08-30,UMass Dartmouth,Framingham St.,1,5,FINAL,6494485,False
2025-08-30,Cedar Crest,Meredith,0,3,FINAL,6494504,False
2025-08-30,Oswego St.,Wilkes,0,2,FINAL,6494515,False
