date,home_team,away_team,home_score,away_score,status,game_id,neutral_site
2026-09-01,Shenandoah,Mary Washington,2,3,FINAL,6635919,False
2026-09-01,Notre Dame (MD),Washington Col.,0,3,FINAL,6635968,False
2026-09-01,Denison,Marietta,2,3,FINAL,6636325,False
2026-09-01,Austin,Howard Payne,3,1,FINAL,6636600,False
2026-09-01,Baldwin Wallace,John Carroll,3,2,FINAL,6637257,False
2026-09-01,Ohio Wesleyan,Heidelberg,1,3,FINAL,6637271,False
2026-09-01,MCLA,SUNY Cobleskill,3,1,FINAL,6637554,False
2026-09-01,Hood,Catholic,0,3,FINAL,6638681,False
2026-09-01,Grove City,La Roche,3,0,FINAL,6632629,False
2026-09-01,Pitt.-Bradford,Fredonia,0,3,FINAL,6635336,False
2026-09-01,Ripon,St. Norbert,0,3,FINAL,6632128,False
2026-09-01,Concordia Chicago,North Central (IL),0,3,FINAL,6633422,False
2026-09-01,Augustana (IL),Dubuque,0,3,FINAL,6634383,False
2026-09-01,Rockford,Beloit,1,3,FINAL,6634869,False
2026-09-01,Loras,Monmouth (IL),0,3,FINAL,6634906,False
2026-09-01,Saint Benedict,Northwestern-St. Paul,0,3,FINAL,6635102,False
2026-09-01,Coe,Grinnell,3,0,FINAL,6635413,False
2026-09-01,Marian (WI),Lawrence,0,3,FINAL,6636051,False
2026-09-01,Macalester,North Central (MN),3,0,FINAL,6636307,False
2026-09-01,Illinois Col.,Principia,3,0,FINAL,6637813,False
2026-09-01,Lakeland,Carthage,2,3,FINAL,6638501,False
2026-09-01,Belhaven,Millsaps,0,3,FINAL,6638804,False
2026-09-02,SUNY Potsdam,VTSU-Johnson,3,1,FINAL,6635996,False
2026-09-02,Plymouth St.,Fitchburg St.,3,0,FINAL,6636766,False
2026-09-02,Norwich,Regis (MA),1,3,FINAL,6633700,False
2026-09-02,UMSV,Yeshiva,3,0,FINAL,6637589,False
2026-09-02,Olivet,Manchester,2,3,FINAL,6635240,False
2026-09-02,Penn St. Harrisburg,Gettysburg,1,3,FINAL,6632819,False
2026-09-02,Pitt.-Greensburg,Chatham,0,3,FINAL,6634048,False
2026-09-02,Penn College,Penn St.-Altoona,0,3,FINAL,6636676,False
2026-09-03,Mary Hardin-Baylor,Texas Lutheran,2,3,FINAL,6632331,False
2026-09-03,Rhode Island Col.,Salem St.,3,0,FINAL,6632833,False
2026-09-03,UMSV,Medgar Evers,3,0,FINAL,6638036,False
2026-09-03,FDU-Florham,Wilkes,2,3,FINAL,6632053,False
2026-09-03,Hartford,Saint Joseph (CT),2,3,FINAL,6632207,False
2026-09-03,Rutgers-Camden,Widener,3,1,FINAL,6632906,False
2026-09-03,Mary Hardin-Baylor,Alverno,3,0,FINAL,6633153,False
2026-09-03,Sarah Lawrence,Pratt,3,0,FINAL,6633186,False
2026-09-03,Cairn,Delaware Valley,3,0,FINAL,6634831,False
2026-09-03,Albertus Magnus,Purchase,3,0,FINAL,6636251,False
2026-09-03,Hood,McDaniel,0,3,FINAL,6636316,False
2026-09-03,Washington Col.,Albright,3,1,FINAL,6636731,False
2026-09-03,CCNY,Farmingdale St.,2,3,FINAL,6638430,False
2026-09-03,Alvernia,Penn St.-Berks,3,0,FINAL,6638645,False
2026-09-03,Pomona-Pitzer,Westminster (MO),2,3,FINAL,6634714,False
2026-09-01,Wentworth,Emmanuel (MA),3,1,FINAL,6634511,False
2026-09-01,Thomas (ME),UMass Boston,0,3,FINAL,6635545,False
2026-09-01,Wentworth,Emerson,2,3,FINAL,6634513,False
2026-09-01,Ill. Wesleyan,Wartburg,3,0,FINAL,6634835,False
2026-09-01,Salisbury,Stockton,3,0,FINAL,6632526,False
2026-09-01,Mary Hardin-Baylor,Concordia (TX),3,0,FINAL,6632614,False
2026-09-01,Wm. Paterson,St. Joseph's (L.I.),3,0,FINAL,6632754,False
2026-09-01,St. Joseph's (Brkln),Rutgers-Newark,2,3,FINAL,6632728,False
2026-09-01,SUNY Oneonta,Skidmore,0,3,FINAL,6633486,False
2026-09-01,St. John Fisher,Ithaca,1,3,FINAL,6633906,False
2026-09-01,Alfred St.,Houghton,3,1,FINAL,6634386,False
2026-09-01,Wartburg,Aurora,0,3,FINAL,6634618,False
2026-09-01,Central (IA),Bethel (MN),1,3,FINAL,6636559,False
2026-09-01,FDU-Florham,Farmingdale St.,3,1,FINAL,6632052,False
2026-09-01,Greensboro,Wash. & Lee,0,3,FINAL,6632096,False
2026-09-01,Nichols,Colby-Sawyer,2,3,FINAL,6632931,False
